                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2846,                 0.8743,                  1.165,                0.58758,                0.65902,                0.64443,                0.33885,                 1.8615,                 1.2101,                 1.4886,             0.00016265,             0.00016265,             0.00016265
                     81,                 1.2642,                0.86468,                 1.1518,                0.60764,                0.67076,                0.65937,                0.34848,                 1.8287,                 1.2112,                 1.4718,             0.00015558,             0.00015558,             0.00015558
                     82,                 1.2614,                  0.858,                 1.1598,                0.61533,                0.67776,                0.65914,                0.34367,                 1.8443,                 1.2108,                 1.4923,             0.00014851,             0.00014851,             0.00014851
                     83,                 1.2676,                0.85408,                  1.152,                0.62826,                0.68242,                 0.6482,                0.33846,                 1.8611,                 1.2047,                 1.4901,             0.00014144,             0.00014144,             0.00014144
                     84,                 1.2394,                0.84493,                 1.1441,                0.66098,                0.60586,                0.64946,                0.34242,                 1.8381,                 1.2155,                  1.472,             0.00013437,             0.00013437,             0.00013437
                     85,                 1.2463,                0.84284,                 1.1493,                0.61581,                0.63994,                 0.6443,                0.34205,                 1.8465,                 1.2043,                 1.4795,             0.00012731,             0.00012731,             0.00012731
                     86,                 1.2344,                0.83961,                 1.1442,                0.62689,                0.65082,                0.65443,                0.35127,                 1.8369,                 1.2028,                 1.4888,             0.00012024,             0.00012024,             0.00012024
                     87,                 1.2156,                0.82106,                 1.1385,                0.63784,                0.63351,                0.65292,                0.34182,                 1.8391,                 1.2049,                 1.4696,             0.00011317,             0.00011317,             0.00011317
                     88,                 1.2481,                0.82929,                 1.1373,                0.66005,                0.66692,                0.66289,                0.34048,                 1.8704,                 1.2088,                 1.4844,              0.0001061,              0.0001061,              0.0001061
                     89,                 1.2145,                0.80316,                 1.1208,                0.64319,                0.64958,                0.65264,                0.34077,                 1.8507,                 1.2135,                 1.4817,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 1.2129,                0.81128,                 1.1286,                0.60192,                0.66897,                0.65236,                0.34407,                 1.8286,                 1.1945,                 1.4775,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 1.2501,                0.81629,                 1.1563,                0.64235,                0.64481,                0.64426,                0.33456,                 1.8402,                    1.2,                 1.4896,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                 1.2092,                0.76182,                 1.1355,                0.61536,                0.65332,                0.64798,                0.34214,                 1.8399,                 1.1806,                 1.4943,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                 1.1775,                0.73906,                 1.1205,                0.62246,                0.66138,                0.64377,                0.33952,                 1.8121,                 1.1674,                 1.4717,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 1.1656,                0.73563,                 1.1174,                0.63404,                0.66017,                0.65071,                0.34141,                 1.8339,                 1.1781,                 1.4834,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 1.1603,                0.72469,                 1.1081,                0.60491,                0.66919,                0.64844,                 0.3443,                 1.8184,                 1.1792,                 1.4747,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                 1.1483,                0.72213,                  1.115,                0.65238,                0.63217,                0.65615,                0.34584,                 1.8092,                 1.1823,                  1.467,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 1.1366,                0.70906,                 1.0999,                0.60757,                0.66736,                0.64981,                0.34556,                 1.8142,                 1.1806,                  1.477,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 1.1338,                0.70524,                 1.1024,                0.62247,                0.62822,                0.63814,                0.34153,                 1.8166,                  1.183,                 1.4801,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 1.1293,                0.69817,                 1.0981,                0.63989,                0.63006,                0.64898,                0.34815,                 1.8045,                 1.1682,                 1.4728,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 1.1145,                0.69784,                 1.0946,                0.63257,                0.63371,                0.64556,                0.34634,                 1.8041,                 1.1767,                 1.4699,             2.1277e-05,             2.1277e-05,             2.1277e-05
